Zip Code,Official USPS city name,Official USPS State Code,Official State Name,Primary Official County Name,Official County Name
6519,New Haven,CT,Connecticut,New Haven,New Haven
6611,Trumbull,CT,Connecticut,Fairfield,Fairfield
6708,Waterbury,CT,Connecticut,New Haven,"New Haven,Litchfield"
6757,Kent,CT,Connecticut,Litchfield,Litchfield
6783,Roxbury,CT,Connecticut,Litchfield,Litchfield
6890,Southport,CT,Connecticut,Fairfield,Fairfield
7003,Bloomfield,NJ,New Jersey,Essex,Essex
7055,Passaic,NJ,New Jersey,Passaic,Passaic
7306,Jersey City,NJ,New Jersey,Hudson,Hudson
7627,Demarest,NJ,New Jersey,Bergen,Bergen
7645,Montvale,NJ,New Jersey,Bergen,Bergen
7663,Saddle Brook,NJ,New Jersey,Bergen,Bergen
7731,Howell,NJ,New Jersey,Monmouth,Monmouth
7826,Branchville,NJ,New Jersey,Sussex,Sussex
7830,Califon,NJ,New Jersey,Hunterdon,"Hunterdon,Morris"
7846,Johnsonburg,NJ,New Jersey,Warren,Warren
7870,Schooleys Mountain,NJ,New Jersey,Morris,Morris
7977,Peapack,NJ,New Jersey,Somerset,Somerset
8030,Gloucester City,NJ,New Jersey,Camden,Camden
8039,Harrisonville,NJ,New Jersey,Gloucester,Gloucester
8071,Pitman,NJ,New Jersey,Gloucester,Gloucester
8314,Delmont,NJ,New Jersey,Cumberland,Cumberland
8319,Estell Manor,NJ,New Jersey,Atlantic,Atlantic
8328,Malaga,NJ,New Jersey,Gloucester,Gloucester
8406,Ventnor City,NJ,New Jersey,Atlantic,Atlantic
8740,Ocean Gate,NJ,New Jersey,Ocean,Ocean
8857,Old Bridge,NJ,New Jersey,Middlesex,Middlesex
10032,New York,NY,New York,New York,New York
10451,Bronx,NY,New York,Bronx,Bronx
10458,Bronx,NY,New York,Bronx,Bronx
10570,Pleasantville,NY,New York,Westchester,Westchester
10990,Warwick,NY,New York,Orange,Orange
11005,Floral Park,NY,New York,Queens,Queens
11203,Brooklyn,NY,New York,Kings,Kings
11212,Brooklyn,NY,New York,Kings,Kings
11221,Brooklyn,NY,New York,Kings,Kings
11224,Brooklyn,NY,New York,Kings,Kings
11354,Flushing,NY,New York,Queens,Queens
11413,Springfield Gardens,NY,New York,Queens,Queens
11425,Jamaica,NY,New York,Kings,Kings
11580,Valley Stream,NY,New York,Nassau,Nassau
11715,Blue Point,NY,New York,Suffolk,Suffolk
11754,Kings Park,NY,New York,Suffolk,Suffolk
11942,East Quogue,NY,New York,Suffolk,Suffolk
12051,Coxsackie,NY,New York,Greene,Greene
12154,Schaghticoke,NY,New York,Rensselaer,"Rensselaer,Washington"
12208,Albany,NY,New York,Albany,Albany
12307,Schenectady,NY,New York,Schenectady,Schenectady
12309,Schenectady,NY,New York,Schenectady,"Schenectady,Albany"
12407,Ashland,NY,New York,Greene,Greene
12423,East Durham,NY,New York,Greene,Greene
12443,Hurley,NY,New York,Ulster,Ulster
12487,Ulster Park,NY,New York,Ulster,Ulster
12489,Wawarsing,NY,New York,Ulster,Ulster
12527,Glenham,NY,New York,Dutchess,Dutchess
12547,Milton,NY,New York,Ulster,Ulster
12741,Hankins,NY,New York,Sullivan,Sullivan
12811,Bakers Mills,NY,New York,Warren,Warren
12844,Kattskill Bay,NY,New York,Washington,"Washington,Warren"
12861,Putnam Station,NY,New York,Washington,Washington
12932,Elizabethtown,NY,New York,Essex,Essex
12956,Mineville,NY,New York,Essex,Essex
12973,Piercefield,NY,New York,St. Lawrence,St. Lawrence
13118,Moravia,NY,New York,Cayuga,Cayuga
13152,Skaneateles,NY,New York,Onondaga,"Onondaga,Cayuga"
13290,Syracuse,NY,New York,Onondaga,Onondaga
13339,Fort Plain,NY,New York,Montgomery,"Montgomery,Herkimer,Fulton"
13364,Leonardsville,NY,New York,Madison,Madison
13410,Nelliston,NY,New York,Montgomery,Montgomery
13661,Mannsville,NY,New York,Jefferson,"Jefferson,Oswego"
13776,Gilbertsville,NY,New York,Otsego,Otsego
13809,Mount Upton,NY,New York,Chenango,"Chenango,Otsego"
14020,Batavia,NY,New York,Genesee,Genesee
14026,Bowmansville,NY,New York,Erie,Erie
14169,Wales Center,NY,New York,Erie,Erie
14502,Macedon,NY,New York,Wayne,"Wayne,Monroe"
14626,Rochester,NY,New York,Monroe,Monroe
14715,Bolivar,NY,New York,Allegany,Allegany
14756,Maple Springs,NY,New York,Chautauqua,Chautauqua
14819,Cameron,NY,New York,Steuben,Steuben
14827,Coopers Plains,NY,New York,Steuben,Steuben
14840,Hammondsport,NY,New York,Steuben,"Steuben,Schuyler"
14884,Swain,NY,New York,Allegany,Allegany
14892,Waverly,NY,New York,Tioga,"Tioga,Chemung"
14895,Wellsville,NY,New York,Allegany,Allegany
15004,Atlasburg,PA,Pennsylvania,Washington,Washington
15010,Beaver Falls,PA,Pennsylvania,Beaver,Beaver
15116,Glenshaw,PA,Pennsylvania,Allegheny,Allegheny
15120,Homestead,PA,Pennsylvania,Allegheny,Allegheny
15376,West Alexander,PA,Pennsylvania,Washington,Washington
15410,Adah,PA,Pennsylvania,Fayette,Fayette
15412,Allenport,PA,Pennsylvania,Washington,Washington
15461,Masontown,PA,Pennsylvania,Fayette,Fayette
15478,Smithfield,PA,Pennsylvania,Fayette,Fayette
15537,Everett,PA,Pennsylvania,Bedford,Bedford
15541,Friedens,PA,Pennsylvania,Somerset,Somerset
15557,Rockwood,PA,Pennsylvania,Somerset,"Somerset,Fayette"
15562,Springs,PA,Pennsylvania,Somerset,Somerset
15673,North Apollo,PA,Pennsylvania,Armstrong,Armstrong
15733,De Lancey,PA,Pennsylvania,Jefferson,Jefferson
15770,Ringgold,PA,Pennsylvania,Jefferson,Jefferson
15954,Seward,PA,Pennsylvania,Indiana,"Indiana,Westmoreland"
16052,Prospect,PA,Pennsylvania,Butler,Butler
16063,Zelienople,PA,Pennsylvania,Butler,"Butler,Beaver"
16156,Volant,PA,Pennsylvania,Lawrence,"Lawrence,Mercer"
16212,Cadogan,PA,Pennsylvania,Armstrong,Armstrong
16341,Pleasantville,PA,Pennsylvania,Venango,"Venango,Forest"
16345,Russell,PA,Pennsylvania,Warren,Warren
16362,Utica,PA,Pennsylvania,Venango,"Venango,Mercer"
16417,Girard,PA,Pennsylvania,Erie,Erie
16546,Erie,PA,Pennsylvania,Erie,Erie
16611,Alexandria,PA,Pennsylvania,Huntingdon,Huntingdon
16616,Beccaria,PA,Pennsylvania,Clearfield,Clearfield
16665,Newry,PA,Pennsylvania,Blair,Blair
16848,Lamar,PA,Pennsylvania,Clinton,Clinton
16852,Madisonburg,PA,Pennsylvania,Centre,Centre
16929,Lawrenceville,PA,Pennsylvania,Tioga,Tioga
17027,Grantham,PA,Pennsylvania,Cumberland,Cumberland
17028,Grantville,PA,Pennsylvania,Dauphin,"Dauphin,Lebanon"
17078,Palmyra,PA,Pennsylvania,Lebanon,"Lebanon,Dauphin"
17331,Hanover,PA,Pennsylvania,York,"York,Adams"
17344,McSherrystown,PA,Pennsylvania,Adams,Adams
17355,Railroad,PA,Pennsylvania,York,York
17368,Wrightsville,PA,Pennsylvania,York,York
17519,East Earl,PA,Pennsylvania,Lancaster,Lancaster
17522,Ephrata,PA,Pennsylvania,Lancaster,Lancaster
17576,Smoketown,PA,Pennsylvania,Lancaster,Lancaster
17606,Lancaster,PA,Pennsylvania,Lancaster,Lancaster
17740,Jersey Shore,PA,Pennsylvania,Lycoming,"Lycoming,Clinton"
17865,Potts Grove,PA,Pennsylvania,Northumberland,Northumberland
17887,White Deer,PA,Pennsylvania,Union,Union
17889,Winfield,PA,Pennsylvania,Union,"Union,Snyder"
18020,Bethlehem,PA,Pennsylvania,Northampton,Northampton
18031,Breinigsville,PA,Pennsylvania,Lehigh,"Lehigh,Berks"
18327,Delaware Water Gap,PA,Pennsylvania,Monroe,Monroe
18344,Mount Pocono,PA,Pennsylvania,Monroe,Monroe
18438,Lakeville,PA,Pennsylvania,Wayne,Wayne
18504,Scranton,PA,Pennsylvania,Lackawanna,Lackawanna
18510,Scranton,PA,Pennsylvania,Lackawanna,Lackawanna
18708,Shavertown,PA,Pennsylvania,Luzerne,Luzerne
18914,Chalfont,PA,Pennsylvania,Bucks,Bucks
18972,Upper Black Eddy,PA,Pennsylvania,Bucks,Bucks
18976,Warrington,PA,Pennsylvania,Bucks,Bucks
19009,Bryn Athyn,PA,Pennsylvania,Montgomery,Montgomery
19044,Horsham,PA,Pennsylvania,Montgomery,Montgomery
19085,Villanova,PA,Pennsylvania,Delaware,"Delaware,Montgomery"
19131,Philadelphia,PA,Pennsylvania,Philadelphia,Philadelphia
19462,Plymouth Meeting,PA,Pennsylvania,Montgomery,Montgomery
19510,Blandon,PA,Pennsylvania,Berks,Berks
19936,Cheswold,DE,Delaware,Kent,Kent
19964,Marydel,DE,Delaware,Kent,Kent
20009,Washington,DC,District of Columbia,District of Columbia,District of Columbia
20110,Manassas,VA,Virginia,Manassas,"Manassas,Prince William"
20171,Herndon,VA,Virginia,Fairfax,Fairfax
20181,Nokesville,VA,Virginia,Prince William,"Prince William,Fauquier"
20245,Washington,DC,District of Columbia,District of Columbia,District of Columbia
20553,Washington,DC,District of Columbia,District of Columbia,District of Columbia
20622,Charlotte Hall,MD,Maryland,Charles,"Charles,St. Mary's"
20854,Potomac,MD,Maryland,Montgomery,Montgomery
20868,Spencerville,MD,Maryland,Montgomery,Montgomery
21050,Forest Hill,MD,Maryland,Harford,Harford
21104,Marriottsville,MD,Maryland,Carroll,"Carroll,Howard,Baltimore"
21215,Baltimore,MD,Maryland,Baltimore,"Baltimore,Baltimore"
21252,Towson,MD,Maryland,Baltimore,Baltimore
21409,Annapolis,MD,Maryland,Anne Arundel,Anne Arundel
21530,Flintstone,MD,Maryland,Allegany,Allegany
21722,Clear Spring,MD,Maryland,Washington,Washington
21755,Jefferson,MD,Maryland,Frederick,Frederick
21830,Hebron,MD,Maryland,Wicomico,Wicomico
21840,Nanticoke,MD,Maryland,Wicomico,Wicomico
22025,Dumfries,VA,Virginia,Prince William,Prince William
22035,Fairfax,VA,Virginia,Fairfax,Fairfax
22405,Fredericksburg,VA,Virginia,Stafford,Stafford
22476,Hustle,VA,Virginia,Essex,Essex
22601,Winchester,VA,Virginia,Winchester,"Winchester,Frederick"
22942,Gordonsville,VA,Virginia,Louisa,"Louisa,Orange,Albemarle"
23035,Cobbs Creek,VA,Virginia,Mathews,Mathews
23069,Hanover,VA,Virginia,Hanover,"Hanover,Caroline,King William"
23076,Hudgins,VA,Virginia,Mathews,Mathews
23086,King William,VA,Virginia,King William,King William
23176,Wake,VA,Virginia,Middlesex,Middlesex
23437,Suffolk,VA,Virginia,Suffolk,Suffolk
23666,Hampton,VA,Virginia,Hampton,Hampton
23701,Portsmouth,VA,Virginia,Portsmouth,Portsmouth
23888,Wakefield,VA,Virginia,Sussex,"Sussex,Southampton,Surry"
23917,Boydton,VA,Virginia,Mecklenburg,Mecklenburg
23942,Green Bay,VA,Virginia,Prince Edward,"Prince Edward,Lunenburg"
23947,Keysville,VA,Virginia,Charlotte,"Charlotte,Lunenburg,Prince Edward"
24079,Copper Hill,VA,Virginia,Floyd,"Floyd,Franklin"
24083,Daleville,VA,Virginia,Botetourt,Botetourt
24124,Narrows,VA,Virginia,Giles,"Giles,Bland"
24162,Shawsville,VA,Virginia,Montgomery,"Montgomery,Floyd"
24265,Keokee,VA,Virginia,Lee,Lee
24311,Atkins,VA,Virginia,Smyth,Smyth
24313,Barren Springs,VA,Virginia,Wythe,"Wythe,Pulaski"
24314,Bastian,VA,Virginia,Bland,"Bland,Tazewell"
24317,Cana,VA,Virginia,Carroll,Carroll
24328,Fancy Gap,VA,Virginia,Carroll,Carroll
24382,Wytheville,VA,Virginia,Wythe,Wythe
24558,Halifax,VA,Virginia,Halifax,Halifax
24574,Monroe,VA,Virginia,Amherst,Amherst
24581,Norwood,VA,Virginia,Nelson,Nelson
24826,Cucumber,WV,West Virginia,McDowell,McDowell
24882,Simon,WV,West Virginia,Wyoming,Wyoming
25003,Alum Creek,WV,West Virginia,Lincoln,"Lincoln,Kanawha"
25011,Bancroft,WV,West Virginia,Putnam,Putnam
25106,Henderson,WV,West Virginia,Mason,Mason
25204,Twilight,WV,West Virginia,Boone,Boone
25442,Shenandoah Junction,WV,West Virginia,Jefferson,Jefferson
25504,Barboursville,WV,West Virginia,Cabell,"Cabell,Wayne"
25637,Mount Gay,WV,West Virginia,Logan,Logan
25651,Wharncliffe,WV,West Virginia,Mingo,Mingo
25703,Huntington,WV,West Virginia,Cabell,Cabell
25840,Fayetteville,WV,West Virginia,Fayette,Fayette
25841,Flat Top,WV,West Virginia,Mercer,"Mercer,Summers"
25904,Pax,WV,West Virginia,Fayette,Fayette
26155,New Martinsville,WV,West Virginia,Wetzel,"Wetzel,Tyler,Marshall"
26269,Hambleton,WV,West Virginia,Tucker,Tucker
26505,Morgantown,WV,West Virginia,Monongalia,Monongalia
26560,Baxter,WV,West Virginia,Marion,Marion
27014,Cooleemee,NC,North Carolina,Davie,Davie
27030,Mount Airy,NC,North Carolina,Surry,"Surry,Stokes"
27110,Winston Salem,NC,North Carolina,Forsyth,Forsyth
27262,High Point,NC,North Carolina,Guilford,"Guilford,Davidson"
27316,Ramseur,NC,North Carolina,Randolph,Randolph
27410,Greensboro,NC,North Carolina,Guilford,Guilford
27525,Franklinton,NC,North Carolina,Franklin,"Franklin,Granville"
27539,Apex,NC,North Carolina,Wake,Wake
27587,Wake Forest,NC,North Carolina,Wake,"Wake,Granville,Franklin"
27816,Castalia,NC,North Carolina,Nash,"Nash,Franklin"
27922,Cofield,NC,North Carolina,Hertford,Hertford
28054,Gastonia,NC,North Carolina,Gaston,Gaston
28056,Gastonia,NC,North Carolina,Gaston,Gaston
28098,Lowell,NC,North Carolina,Gaston,Gaston
28278,Charlotte,NC,North Carolina,Mecklenburg,Mecklenburg
28401,Wilmington,NC,North Carolina,New Hanover,New Hanover
28412,Wilmington,NC,North Carolina,New Hanover,New Hanover
28425,Burgaw,NC,North Carolina,Pender,Pender
28445,Holly Ridge,NC,North Carolina,Onslow,"Onslow,Pender"
28480,Wrightsville Beach,NC,North Carolina,New Hanover,New Hanover
28547,Camp Lejeune,NC,North Carolina,Onslow,Onslow
28573,Pollocksville,NC,North Carolina,Jones,"Jones,Craven"
28574,Richlands,NC,North Carolina,Onslow,"Onslow,Jones,Duplin"
28642,Jonesville,NC,North Carolina,Yadkin,"Yadkin,Wilkes"
28722,Columbus,NC,North Carolina,Polk,Polk
28902,Brasstown,NC,North Carolina,Clay,"Clay,Cherokee"
28905,Marble,NC,North Carolina,Cherokee,Cherokee
29058,Heath Springs,SC,South Carolina,Lancaster,"Lancaster,Kershaw"
29563,Lake View,SC,South Carolina,Dillon,Dillon
29626,Anderson,SC,South Carolina,Anderson,Anderson
29651,Greer,SC,South Carolina,Greenville,"Greenville,Spartanburg"
29851,Warrenville,SC,South Carolina,Aiken,Aiken
30075,Roswell,GA,Georgia,Fulton,"Fulton,Cobb,Cherokee"
30179,Temple,GA,Georgia,Carroll,"Carroll,Paulding,Haralson"
30314,Atlanta,GA,Georgia,Fulton,Fulton
30360,Atlanta,GA,Georgia,DeKalb,"DeKalb,Gwinnett"
30504,Gainesville,GA,Georgia,Hall,Hall
30528,Cleveland,GA,Georgia,White,"White,Lumpkin"
30549,Jefferson,GA,Georgia,Jackson,Jackson
30621,Bishop,GA,Georgia,Oconee,"Oconee,Morgan"
30678,White Plains,GA,Georgia,Greene,"Greene,Hancock,Taliaferro"
30726,Graysville,GA,Georgia,Catoosa,Catoosa
31037,McRae Helena,GA,Georgia,Telfair,"Telfair,Wheeler,Dodge"
31085,Shady Dale,GA,Georgia,Jasper,Jasper
31210,Macon,GA,Georgia,Bibb,"Bibb,Monroe"
31331,Townsend,GA,Georgia,McIntosh,McIntosh
31415,Savannah,GA,Georgia,Chatham,Chatham
31558,Saint Marys,GA,Georgia,Camden,Camden
31826,Shiloh,GA,Georgia,Harris,"Harris,Talbot"
31830,Warm Springs,GA,Georgia,Meriwether,"Meriwether,Harris"
31833,West Point,GA,Georgia,Troup,"Troup,Harris"
31905,Fort Benning,GA,Georgia,Chattahoochee,"Chattahoochee,Muscogee,Russell"
32189,Satsuma,FL,Florida,Putnam,Putnam
32204,Jacksonville,FL,Florida,Duval,Duval
32209,Jacksonville,FL,Florida,Duval,Duval
32221,Jacksonville,FL,Florida,Duval,Duval
32336,Lamont,FL,Florida,Jefferson,"Jefferson,Madison,Taylor"
32440,Graceville,FL,Florida,Jackson,"Jackson,Holmes"
32577,Molino,FL,Florida,Escambia,Escambia
32579,Shalimar,FL,Florida,Okaloosa,Okaloosa
32617,Anthony,FL,Florida,Marion,Marion
32668,Morriston,FL,Florida,Levy,"Levy,Marion"
32709,Christmas,FL,Florida,Orange,Orange
32724,Deland,FL,Florida,Volusia,Volusia
32829,Orlando,FL,Florida,Orange,Orange
32837,Orlando,FL,Florida,Orange,Orange
32926,Cocoa,FL,Florida,Brevard,Brevard
32948,Fellsmere,FL,Florida,Indian River,"Indian River,Brevard"
33028,Pembroke Pines,FL,Florida,Broward,Broward
33040,Key West,FL,Florida,Monroe,Monroe
33071,Coral Springs,FL,Florida,Broward,Broward
33109,Miami Beach,FL,Florida,Miami-Dade,Miami-Dade
33154,Miami Beach,FL,Florida,Miami-Dade,Miami-Dade
33306,Fort Lauderdale,FL,Florida,Broward,Broward
33461,Lake Worth,FL,Florida,Palm Beach,Palm Beach
33527,Dover,FL,Florida,Hillsborough,Hillsborough
33544,Wesley Chapel,FL,Florida,Pasco,Pasco
33812,Lakeland,FL,Florida,Polk,Polk
33983,Punta Gorda,FL,Florida,Charlotte,Charlotte
34114,Naples,FL,Florida,Collier,Collier
34470,Ocala,FL,Florida,Marion,Marion
34488,Silver Springs,FL,Florida,Marion,Marion
34736,Groveland,FL,Florida,Lake,Lake
34746,Kissimmee,FL,Florida,Osceola,Osceola
34769,Saint Cloud,FL,Florida,Osceola,Osceola
34974,Okeechobee,FL,Florida,Okeechobee,"Okeechobee,Glades,Highlands,Martin"
35016,Arab,AL,Alabama,Marshall,"Marshall,Cullman,Blount"
35042,Centreville,AL,Alabama,Bibb,Bibb
35077,Hanceville,AL,Alabama,Cullman,Cullman
35094,Leeds,AL,Alabama,Jefferson,"Jefferson,St. Clair,Shelby"
35097,Locust Fork,AL,Alabama,Blount,Blount
35120,Odenville,AL,Alabama,St. Clair,St. Clair
35139,Sayre,AL,Alabama,Jefferson,Jefferson
35203,Birmingham,AL,Alabama,Jefferson,Jefferson
35204,Birmingham,AL,Alabama,Jefferson,Jefferson
35235,Birmingham,AL,Alabama,Jefferson,Jefferson
35441,Akron,AL,Alabama,Hale,Hale
35545,Belk,AL,Alabama,Fayette,Fayette
35555,Fayette,AL,Alabama,Fayette,"Fayette,Tuscaloosa,Lamar,Pickens"
35630,Florence,AL,Alabama,Lauderdale,Lauderdale
35633,Florence,AL,Alabama,Lauderdale,Lauderdale
